  3 | 40 67 84 91 94 95 96 97 98 98 99 99 99 99 99 99 99 99 99 99
  4 | 30 54 70 82 88 91 93 94 95 96 97 98 98 99 99 99 99 99 99 99
  5 | 22 41 59 72 80 85 89 90 93 94 95 97 97 97 98 99 99 99 99 99
  6 | 16 32 48 60 70 78 83 86 89 91 93 94 95 97 97 98 98 98 99 99
  7 | 11 24 38 51 60 68 75 81 84 87 89 92 93 94 96 96 97 98 98 98
  8 |  8 19 30 41 51 60 67 73 79 82 86 88 90 92 94 94 95 96 97 98
  9 |  5 14 24 33 43 51 59 65 72 77 81 84 87 89 91 92 94 95 96 97
 10 |  4 10 17 26 35 43 52 59 64 71 76 80 83 85 88 90 91 93 94 95
 11 |  3  7 14 21 28 36 45 52 59 64 70 75 79 82 85 87 89 91 93 93
 12 |  2  5 10 16 23 30 37 44 52 58 63 69 74 77 81 84 87 88 90 92
 13 |  1  3  7 12 18 24 31 38 45 51 58 63 68 73 77 80 83 86 88 89
 14 |  1  2  5  8 14 19 25 32 39 45 51 57 63 68 73 76 79 82 84 87
 15 |  0  2  4  7 11 15 20 27 33 40 45 51 56 62 67 72 76 79 82 84
 16 |  0  1  2  5  8 12 17 22 28 34 40 46 52 57 61 67 71 74 77 81
 17 |  0  0  1  3  6  9 13 18 23 29 35 40 46 51 56 61 66 71 74 77
 18 |  0  0  1  2  5  7 11 14 21 24 30 35 41 47 52 57 61 66 70 73
 19 |  0  0  0  2  3  6  8 13 16 20 25 30 36 40 47 51 57 61 67 70
 20 |  0  0  0  1  2  4  7  9 13 17 21 27 32 36 42 47 52 57 62 65

1/2 |  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20
----+------------------------------------------------------------
  1 | 73 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
  2 | 54 82 92 94 96 97 97 98 99 99 99 99 99 99 99 99 99 99 99 00
  3 | 41 62 77 86 90 92 93 95 96 97 98 98 99 99 99 99 99 99 99 99
  4 | 30 48 62 73 80 85 88 91 93 95 96 96 97 98 98 99 99 99 99 99
  5 | 22 36 51 60 69 76 80 85 87 91 92 93 95 96 97 98 98 98 99 99
  6 | 16 29 40 49 58 65 73 77 82 85 88 90 92 94 95 96 97 98 98 98
  7 | 12 22 32 40 49 56 63 70 74 78 82 85 88 91 92 94 95 96 96 97
  8 |  8 16 24 33 41 48 54 60 67 72 76 79 83 86 89 91 92 94 95 96
  9 |  5 11 19 26 34 40 47 52 58 64 70 74 77 81 84 87 89 91 93 94
 10 |  4  9 13 20 27 32 40 46 52 57 63 67 73 76 79 83 85 88 90 91
 11 |  3  6 11 16 22 27 33 39 45 49 55 62 66 70 75 78 81 84 87 89
 12 |  2  4  7 12 17 21 28 32 39 44 49 55 60 64 69 73 76 80 83 86
 13 |  1  3  6  9 13 18 22 28 34 37 43 48 54 58 63 67 71 76 78 82
 14 |  1  2  4  7 11 14 18 24 28 33 39 43 48 53 58 63 67 71 74 78
 15 |  0  1  3  5  8 12 15 19 24 29 33 38 42 46 52 56 61 66 70 73
 16 |  0  1  2  3  6  9 12 16 19 24 29 34 38 42 47 52 56 60 64 69
 17 |  0  0  1  2  4  6  9 13 17 20 25 29 34 38 43 47 52 56 60 64
 18 |  0  0  1  2  3  5  7 10 13 17 21 25 29 33 38 41 46 51 55 58
 19 |  0  0  0  1  2  4  6  8 11 14 18 21 25 28 33 37 41 45 51 54
 20 |  0  0  0  1  2  3  4  6  9 11 15 18 21 25 30 33 38 40 45 49

1/3 |  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20
----+------------------------------------------------------------
  1 | 74 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
  2 | 55 79 88 91 93 96 97 97 98 98 99 99 99 99 99 99 99 99 99 00
  3 | 40 57 70 79 84 88 91 93 95 96 97 98 98 99 99 99 99 99 99 99
  4 | 30 44 55 65 72 77 83 86 90 92 94 95 96 97 98 98 99 99 99 99
  5 | 22 34 42 51 60 67 73 77 83 86 89 91 93 95 96 97 97 98 98 99
  6 | 15 25 33 41 47 55 62 68 74 78 82 85 89 91 93 94 96 96 97 98
  7 | 12 18 26 33 39 45 51 58 64 70 75 79 84 87 89 91 92 94 95 96
  8 |  8 14 20 25 32 37 43 48 56 61 66 72 76 80 84 87 89 91 93 95
  9 |  6 10 15 20 26 30 37 40 47 53 59 64 70 73 78 82 85 88 90 92
 10 |  4  7 12 15 20 25 30 34 38 45 50 56 62 67 72 76 80 83 87 88
 11 |  2  5  8 12 16 21 24 28 33 37 43 49 54 59 65 70 74 77 82 84
 12 |  1  3  6  9 12 15 20 23 27 32 36 41 47 53 56 62 67 72 76 80
 13 |  1  2  4  7 10 12 16 19 24 26 31 34 40 46 50 56 62 66 71 73
 14 |  0  2  3  5  7 10 13 16 19 23 27 30 35 38 45 49 54 59 63 69
 15 |  0  1  2  3  5  8 11 13 16 20 23 26 30 34 38 43 48 54 58 63
 16 |  0  0  1  3  4  5  8 10 13 16 20 24 26 30 34 37 43 47 52 57
 17 |  0  0  1  2  3  4  6  8 11 13 16 19 23 26 30 33 37 42 46 52
 18 |  0  0  0  1  2  3  5  6  8 11 13 17 18 22 25 28 32 37 41 45
 19 |  0  0  0  0  1  2  4  5  6  9 11 13 16 19 22 25 27 31 36 40
